Age,FL
4,363
4,415
4,430
4,358
4,382
4,360
4,330
4,395
4,368
4,380
4,442
4,385
4,415
4,378
4,362
4,340
4,376
4,330
4,402
4,387
4,364
4,387
4,362
4,385
4,357
4,428
4,395
4,358
4,388
4,356
4,427
4,370
4,347
4,448
4,428
4,440
4,388
4,410
4,401
4,386
4,480
4,380
4,351
4,404
4,390
4,326
4,493
4,360
4,425
4,335
4,420
4,465
4,432
4,387
4,417
4,375
4,375
4,383
4,375
4,334
4,425
4,337
4,418
4,417
4,423
4,485
4,375
4,452
4,331
4,436
4,438
4,466
4,423
4,415
4,393
4,404
4,380
4,356
4,325
4,381
4,369
4,375
4,396
4,327
4,422
4,404
4,410
4,452
4,309
4,400
4,381
4,412
4,470
4,441
4,375
4,344
4,336
4,418
4,417
4,415
4,334
4,400
4,411
4,331
4,395
4,439
4,395
4,344
4,350
4,409
4,410
4,436
4,454
4,340
4,349
4,426
4,428
4,473
4,444
4,340
4,365
4,342
4,331
4,344
4,356
4,335
4,369
4,328
4,338
4,340
4,380
4,384
4,302
4,357
4,355
4,327
4,362
4,402
4,373
4,364
4,369
4,365
4,376
4,363
4,357
4,357
4,318
4,327
4,357
4,340
4,344
4,345
4,362
5,410
5,406
5,337
5,366
5,350
5,362
5,403
5,362
5,400
5,387
5,371
5,439
5,426
5,404
5,422
5,408
5,377
5,380
5,499
5,406
5,470
5,462
5,405
5,412
5,429
5,406
5,410
5,430
5,438
5,462
5,422
5,365
5,430
5,430
5,425
5,460
5,415
5,380
5,468
5,436
5,450
5,475
5,491
5,419
5,464
5,424
5,444
5,445
5,388
5,465
5,404
5,410
5,433
5,432
5,459
5,390
5,475
5,450
5,497
5,426
5,443
5,440
5,453
5,450
5,439
5,462
5,448
5,505
5,414
5,426
5,448
5,480
5,462
5,415
5,447
5,425
5,495
5,439
5,452
5,441
5,485
5,430
5,436
5,389
5,418
5,470
5,372
5,430
5,445
5,412
5,417
5,395
5,405
5,446
5,455
5,430
5,445
5,425
5,404
5,409
5,487
5,476
5,450
5,425
5,430
5,365
5,441
5,518
5,442
5,410
5,560
5,445
5,443
5,498
5,504
5,419
5,525
5,435
5,440
5,464
5,391
5,445
5,485
5,442
5,470
5,420
5,503
5,455
5,471
5,456
5,458
5,486
5,425
5,449
5,416
5,465
5,463
5,486
5,422
5,426
5,442
5,412
5,343
5,425
5,465
5,482
5,458
5,477
5,437
5,465
5,485
5,482
5,437
5,428
5,465
5,435
5,452
5,450
5,436
5,409
5,425
5,420
5,454
5,368
5,449
5,380
5,424
5,462
5,449
5,420
5,425
5,425
5,425
5,436
5,474
5,437
5,395
5,475
5,426
5,478
5,455
5,430
5,430
5,430
5,438
5,473
5,456
5,447
5,455
5,408
5,438
5,435
5,451
5,418
5,451
5,504
5,408
5,388
5,437
5,430
5,462
5,425
5,428
5,467
5,445
5,427
5,439
5,461
5,445
5,476
5,435
5,510
5,427
5,472
5,450
5,490
5,410
5,447
5,408
5,444
5,495
5,448
5,437
5,475
5,491
5,445
5,435
5,477
5,489
5,490
5,490
5,425
5,435
5,377
5,430
5,460
5,475
5,410
5,456
5,416
5,425
5,450
5,344
5,427
5,465
5,470
5,470
5,490
5,330
5,423
5,427
5,486
5,358
5,423
5,474
5,465
5,420
5,493
5,470
5,375
5,444
5,466
5,438
5,496
5,459
5,440
5,478
5,447
5,353
5,446
5,387
5,406
5,365
5,490
5,453
5,415
5,450
5,445
5,369
5,432
5,455
5,530
5,495
5,356
5,470
5,450
5,397
5,376
5,402
5,475
5,395
5,405
5,376
5,428
5,445
5,417
5,440
5,464
5,490
5,395
5,368
5,515
5,449
5,375
5,400
5,406
5,409
5,470
5,417
5,383
5,505
5,423
5,437
5,460
5,481
5,349
5,500
5,479
5,510
5,480
5,437
5,496
5,375
5,475
5,469
5,441
5,440
5,518
5,408
5,484
5,471
5,340
5,512
5,542
5,494
5,460
5,359
5,450
5,433
5,475
5,411
5,475
5,497
5,302
5,440
5,415
5,390
5,380
5,449
5,420
5,389
5,513
5,330
5,355
5,372
5,502
5,380
5,380
5,435
5,455
5,443
5,425
5,472
5,455
5,416
5,473
5,483
5,449
5,453
5,489
5,460
5,384
5,356
5,504
5,500
5,400
5,390
5,464
5,515
5,475
5,417
5,395
5,434
5,438
5,381
5,386
5,408
5,373
5,355
5,475
5,425
5,460
5,484
5,400
5,488
5,463
5,446
5,465
5,367
5,374
5,362
5,353
5,380
5,371
5,326
5,397
5,362
5,340
5,374
5,343
5,335
5,399
5,371
5,355
5,395
5,340
5,390
5,357
5,364
5,498
5,388
5,358
5,347
5,410
5,446
5,353
5,436
5,371
5,440
5,408
5,433
5,438
5,519
5,354
5,435
5,441
5,405
5,353
5,470
5,508
5,475
5,431
5,464
5,496
5,448
5,475
5,445
5,457
5,340
5,449
5,431
5,484
5,485
5,455
5,362
5,371
5,372
5,435
5,433
5,474
5,479
5,425
5,520
5,398
5,468
5,424
5,444
5,430
5,456
5,492
5,470
5,435
5,414
5,415
5,444
5,437
5,500
5,431
5,415
5,480
5,469
5,443
5,438
5,418
5,455
5,397
5,415
5,485
5,402
5,416
5,473
5,430
5,461
5,410
5,387
5,457
5,503
5,478
5,482
5,443
5,514
5,450
5,442
5,472
5,510
5,422
5,430
5,460
5,510
5,414
5,467
5,402
5,456
5,466
5,382
5,371
5,468
5,296
5,469
5,409
5,495
5,458
5,376
5,428
5,455
5,470
5,478
5,371
5,440
5,495
5,470
5,460
5,423
5,400
5,460
5,480
5,430
5,474
5,409
5,410
5,445
5,453
5,465
5,461
5,421
5,434
5,441
5,423
5,490
5,391
5,450
5,468
5,438
5,461
5,406
5,438
5,426
5,435
5,434
5,430
5,429
5,447
5,445
5,446
5,459
5,426
5,380
5,430
5,423
5,438
5,452
5,444
5,390
5,367
5,424
5,445
5,492
5,426
5,466
5,435
5,455
5,454
5,399
5,421
5,423
5,460
5,385
5,437
5,465
5,410
5,427
5,415
5,451
5,438
5,378
5,492
5,429
5,395
5,410
5,415
5,417
5,488
5,404
5,445
5,398
5,430
5,438
5,446
5,384
5,445
5,420
5,416
5,424
5,402
5,374
5,374
5,430
5,372
5,451
5,377
5,419
5,450
5,444
5,454
5,428
5,377
